good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.0001,42,layers.0,0.3371838901030284,1080,3203,1889,2394,7,60817408
0.0001,42,layers.1,0.2997830802603037,691,2305,1383,1613,7,60817408
0.0001,42,layers.2,0.13966160022942356,487,3487,1791,2183,7,60817408
0.0001,42,layers.3,0.14856466410180527,502,3379,1787,2094,7,60817408
0.0001,42,layers.4,0.16367769638797677,648,3959,2157,2450,7,60817408
0.0001,42,layers.5,0.15970446149474282,562,3519,1818,2263,7,60817408
0.0001,42,layers.6,0.17326732673267325,770,4444,2180,3034,7,60817408
0.0001,42,layers.7,0.22098214285714285,891,4032,1929,2994,7,60817408
0.0001,42,layers.8,0.1898575020955574,906,4772,2509,3169,7,60817408
0.0001,42,layers.9,0.15135556855861126,776,5127,2512,3391,7,60817408
0.0001,42,layers.10,0.1690980069858229,823,4867,2443,3247,7,60817408
0.0001,42,layers.11,0.1370866471326915,655,4778,2274,3159,7,60817408
0.0001,42,layers.12,0.09013496143958868,561,6224,2988,3797,7,60817408
0.0001,42,layers.13,0.10039492828933694,483,4811,2272,3022,7,60817408
0.0001,42,layers.14,0.08600609209819028,480,5581,2456,3605,7,60817408
0.0001,42,layers.15,0.18178493050475494,497,2734,1351,1880,7,60817408
0.001,42,layers.0,0.19803660848162502,7000,35347,18186,24161,7,60817408
0.001,42,layers.1,0.16756495652616057,6591,39334,22051,23874,7,60817408
0.001,42,layers.2,0.15899323335771762,6955,43744,23172,27527,7,60817408
0.001,42,layers.3,0.11668416531449842,4890,41908,22018,24780,7,60817408
0.001,42,layers.4,0.1365364754483147,5817,42604,23577,24844,7,60817408
0.001,42,layers.5,0.1733361359993694,6597,38059,21469,23187,7,60817408
0.001,42,layers.6,0.2203068663315525,8371,37997,21324,25044,7,60817408
0.001,42,layers.7,0.2377150916784203,8427,35450,20061,23816,7,60817408
0.001,42,layers.8,0.1842959870099745,7945,43110,22870,28185,7,60817408
0.001,42,layers.9,0.1819738188195503,8716,47897,24857,31756,7,60817408
0.001,42,layers.10,0.174462197625636,7818,44812,23687,28943,7,60817408
0.001,42,layers.11,0.1422674418604651,7341,51600,27538,31403,7,60817408
0.001,42,layers.12,0.14525150115041432,7765,53459,29491,31733,7,60817408
0.001,42,layers.13,0.19867008601320837,8754,44063,24692,28125,7,60817408
0.001,42,layers.14,0.15238076160333328,7607,49921,26443,31085,7,60817408
0.001,42,layers.15,0.2941614980916031,9865,33536,19523,23878,7,60817408
0.01,42,layers.0,0.19051242865608334,61084,320630,164604,217110,7,60817408
0.01,42,layers.1,0.14966920447710835,51014,340845,184579,207280,7,60817408
0.01,42,layers.2,0.1914735507896626,68281,356608,202351,222538,7,60817408
0.01,42,layers.3,0.14995041029949652,47474,316598,182950,181122,7,60817408
0.01,42,layers.4,0.17270754340451008,55388,320704,188923,187169,7,60817408
0.01,42,layers.5,0.18667398377679784,57487,307954,182979,182462,7,60817408
0.01,42,layers.6,0.2409281277229671,68572,284616,174557,178631,7,60817408
0.01,42,layers.7,0.27129859387923905,74784,275652,172261,178175,7,60817408
0.01,42,layers.8,0.22384045007907497,69070,308568,189122,188516,7,60817408
0.01,42,layers.9,0.17399826123265516,55839,320917,183306,193450,7,60817408
0.01,42,layers.10,0.16387876107058177,50386,307459,171059,186786,7,60817408
0.01,42,layers.11,0.1524774730806451,54674,358571,197882,215363,7,60817408
0.01,42,layers.12,0.1682867223536253,64248,381777,211702,234323,7,60817408
0.01,42,layers.13,0.21987439309866483,81153,369088,209758,240483,7,60817408
0.01,42,layers.14,0.21162918063408323,79988,377963,216011,241940,7,60817408
0.01,42,layers.15,0.226989907099438,63332,279008,155754,186586,7,60817408
0.025,42,layers.0,0.29255353349263147,222953,762093,437903,547143,7,60817408
0.025,42,layers.1,0.18428906593896965,121830,661081,355826,427085,7,60817408
0.025,42,layers.2,0.19940708930330783,135402,679023,380374,434051,7,60817408
0.025,42,layers.3,0.22333858701015943,149355,668738,391701,426392,7,60817408
0.025,42,layers.4,0.20880828933865317,132459,634357,382282,384534,7,60817408
0.025,42,layers.5,0.1980816315591158,125641,634289,400767,359163,7,60817408
0.025,42,layers.6,0.2280125875322721,141218,619343,397086,363475,7,60817408
0.025,42,layers.7,0.22743449108083325,133439,586714,369432,350721,7,60817408
0.025,42,layers.8,0.24819037060245996,154465,622365,391280,385550,7,60817408
0.025,42,layers.9,0.23265312197663168,156308,671850,408140,420018,7,60817408
0.025,42,layers.10,0.26329262729159186,184105,699241,424596,458750,7,60817408
0.025,42,layers.11,0.23926392128047028,187230,782525,461434,508321,7,60817408
0.025,42,layers.12,0.22863136724574362,184618,807492,459290,532820,7,60817408
0.025,42,layers.13,0.2318994622175155,179342,773361,438065,514638,7,60817408
0.025,42,layers.14,0.20258860270261186,156727,773622,444847,485502,7,60817408
0.025,42,layers.15,0.20602789909842484,125526,609267,350015,384778,7,60817408
0.05,42,layers.0,0.29230720026394263,347301,1188137,690886,844552,7,60817408
0.05,42,layers.1,0.29811532459669626,362403,1215647,732204,845846,7,60817408
0.05,42,layers.2,0.21932899487203072,238449,1087175,612116,713508,7,60817408
0.05,42,layers.3,0.2439181002578814,258691,1060565,638272,680984,7,60817408
0.05,42,layers.4,0.27491296888495725,302691,1101043,689728,714006,7,60817408
0.05,42,layers.5,0.2534270243120887,260358,1027349,647029,640678,7,60817408
0.05,42,layers.6,0.2585066017570594,252760,977770,630051,600479,7,60817408
0.05,42,layers.7,0.2327835462613222,216008,927935,590185,553758,7,60817408
0.05,42,layers.8,0.27181947145970137,278793,1025655,681616,622832,7,60817408
0.05,42,layers.9,0.2563882190837065,297718,1161200,738627,720291,7,60817408
0.05,42,layers.10,0.235498649794441,264416,1122792,674540,712668,7,60817408
0.05,42,layers.11,0.22061749658949953,267322,1211699,706519,772502,7,60817408
0.05,42,layers.12,0.24241348089809853,324237,1337537,773339,888435,7,60817408
0.05,42,layers.13,0.30000502876233415,411639,1372107,827018,956728,7,60817408
0.05,42,layers.14,0.2586553775869745,338120,1307222,765326,880016,7,60817408
0.05,42,layers.15,0.2675870987511331,293413,1096514,635458,754469,7,60817408
0.075,42,layers.0,0.22180855551805603,294434,1327424,718935,902923,7,60817408
0.075,42,layers.1,0.286492251904786,442120,1543218,925481,1059857,7,60817408
0.075,42,layers.2,0.27368673509848673,398261,1455171,868938,984494,7,60817408
0.075,42,layers.3,0.2606943397784637,378798,1453035,910634,921199,7,60817408
0.075,42,layers.4,0.25453788397547883,359450,1412167,878079,893538,7,60817408
0.075,42,layers.5,0.2463722028126179,340886,1383622,882957,841551,7,60817408
0.075,42,layers.6,0.25316289547099924,333673,1318017,855137,796553,7,60817408
0.075,42,layers.7,0.24848797039297574,318862,1283209,833814,768257,7,60817408
0.075,42,layers.8,0.24291952399516836,304075,1251752,805111,750716,7,60817408
0.075,42,layers.9,0.2172661416991926,289513,1332527,823302,798738,7,60817408
0.075,42,layers.10,0.2729162749836775,399196,1462705,921309,940592,7,60817408
0.075,42,layers.11,0.25738985195127023,424397,1648849,1018792,1054454,7,60817408
0.075,42,layers.12,0.2607159725375396,457057,1753084,1037862,1172279,7,60817408
0.075,42,layers.13,0.29123072030529495,512834,1760920,1059948,1213806,7,60817408
0.075,42,layers.14,0.2813757673547358,485488,1725408,1037386,1173510,7,60817408
0.075,42,layers.15,0.2906320280701399,458631,1578047,939066,1097612,7,60817408
0.1,42,layers.0,0.23997305413563527,371904,1549774,858109,1063569,7,60817408
0.1,42,layers.1,0.31382223620500466,572558,1824466,1153817,1243207,7,60817408
0.1,42,layers.2,0.27507894861348087,459315,1669757,1001407,1127665,7,60817408
0.1,42,layers.3,0.31977057207071363,548199,1714351,1098985,1163565,7,60817408
0.1,42,layers.4,0.31174946784450047,557558,1788481,1179739,1166300,7,60817408
0.1,42,layers.5,0.2976224283360636,507251,1704344,1126485,1085110,7,60817408
0.1,42,layers.6,0.29850166724101945,492000,1648232,1089687,1050545,7,60817408
0.1,42,layers.7,0.28828578513920394,444076,1540402,1000309,984169,7,60817408
